user_id,product_id,view,rating,rate_quantity,sold_quantity,cart,wishlist,category,category_encoded,target_cart
3480,399,1,4.01,114,1042,1,0,serum,1,1
409,334,7,4.39,184,897,1,1,moisturizer,2,1
1034,186,1,4.04,168,1470,0,0,moisturizer,2,0
3872,7,1,4.04,631,2023,0,0,moisturizer,2,0
3310,698,5,4.16,117,835,1,1,serum,1,1
786,235,3,3.99,117,998,0,0,moisturizer,2,0
3192,330,1,4.12,331,982,0,0,cleaner,0,0
1517,137,5,4.19,243,1129,0,0,moisturizer,2,0
3156,457,1,3.49,238,935,0,0,unknown,3,0
565,490,3,4.45,530,2006,0,0,serum,1,0
3054,146,3,4.1,155,872,0,0,cleaner,0,0
3968,19,2,4.28,423,1988,0,0,moisturizer,2,0
2249,383,1,4.5,270,1435,0,0,moisturizer,2,0
3662,56,2,4.08,135,1475,0,0,moisturizer,2,0
1552,426,1,4.31,135,772,0,0,moisturizer,2,0
892,57,2,4.25,124,1467,0,0,serum,1,0
2223,236,1,4.44,161,1010,0,0,moisturizer,2,0
2078,421,2,4.13,280,831,0,0,moisturizer,2,0
338,263,2,4.4,568,1723,0,0,serum,1,0
3645,226,11,4.23,369,2127,0,1,moisturizer,2,0
3719,477,1,4.55,268,1474,1,0,serum,1,1
3950,445,2,4.31,135,1494,0,0,cleaner,0,0
1298,318,4,4.06,101,839,0,0,moisturizer,2,0
3803,327,3,4.46,370,1209,1,1,moisturizer,2,1
2024,693,3,4.11,148,956,0,0,cleaner,0,0
3743,477,4,4.55,268,1474,0,0,serum,1,0
3153,215,1,4.51,253,1771,0,0,moisturizer,2,0
3987,670,2,4.23,641,2550,0,0,serum,1,0
2225,694,3,3.79,424,1421,0,1,serum,1,0
1558,696,4,4.64,264,1454,1,0,serum,1,1
3872,244,3,4.49,1344,4551,0,1,serum,1,0
643,384,1,4.47,226,2371,0,0,serum,1,0
3312,698,1,4.16,117,835,0,0,serum,1,0
1203,477,1,4.55,268,1474,0,0,serum,1,0
589,580,1,4.34,107,557,0,0,serum,1,0
2503,94,2,4.75,99,679,0,0,serum,1,0
3352,669,1,4.33,344,1346,0,0,cleaner,0,0
892,370,2,4.19,256,1307,0,0,moisturizer,2,0
534,63,2,4.25,236,1002,0,0,serum,1,0
3294,689,3,4.13,229,2489,1,0,moisturizer,2,1
3282,461,4,4.55,164,1288,0,0,serum,1,0
1413,354,2,4.22,138,826,0,1,serum,1,0
1065,630,3,4.46,172,1301,0,0,moisturizer,2,0
2157,150,1,3.95,95,951,0,0,cleaner,0,0
1196,244,4,4.49,1344,4551,0,0,serum,1,0
2088,291,3,4.28,349,2339,0,0,moisturizer,2,0
2702,329,2,4.31,89,831,0,0,serum,1,0
3380,586,2,4.56,115,981,0,0,serum,1,0
801,84,1,4.04,1084,3314,2,0,cleaner,0,1
557,233,1,4.51,633,2085,0,0,moisturizer,2,0
2800,30,3,3.92,238,984,0,0,moisturizer,2,0
3081,508,3,3.82,365,1294,0,0,moisturizer,2,0
2318,487,7,4.26,195,787,0,1,serum,1,0
3854,51,1,3.89,179,1804,0,0,cleaner,0,0
87,18,1,4.24,157,688,0,0,cleaner,0,0
594,506,1,4.49,689,2314,1,0,moisturizer,2,1
172,156,1,4.79,161,719,0,1,moisturizer,2,0
1863,119,3,3.91,122,1022,0,0,serum,1,0
490,148,1,4.21,64,578,0,0,serum,1,0
515,589,2,4.06,135,709,0,0,cleaner,0,0
855,534,2,3.99,313,992,0,0,serum,1,0
3943,244,9,4.49,1344,4551,1,1,serum,1,1
3099,67,1,4.08,472,1690,0,0,serum,1,0
1399,593,1,4.28,311,1212,0,0,serum,1,0
2212,239,3,4.27,263,951,0,1,cleaner,0,0
2628,190,2,4.16,101,719,0,0,cleaner,0,0
2234,55,3,4.27,483,1669,1,0,moisturizer,2,1
1731,508,1,3.82,365,1294,1,0,moisturizer,2,1
232,50,1,3.61,331,1022,0,0,cleaner,0,0
2457,352,4,3.79,346,1761,1,1,cleaner,0,1
2119,530,2,4.34,322,1426,0,1,serum,1,0
3604,466,2,4.3,174,2142,0,0,moisturizer,2,0
1960,408,3,4.55,329,1720,0,0,moisturizer,2,0
2024,442,3,4.19,244,1094,0,0,cleaner,0,0
3902,393,4,4.15,98,1024,0,2,serum,1,0
1259,219,1,4.3,212,627,0,0,moisturizer,2,0
565,508,4,3.82,365,1294,0,0,moisturizer,2,0
632,148,2,4.21,64,578,0,0,serum,1,0
1405,160,1,3.81,224,1452,0,1,moisturizer,2,0
192,669,1,4.33,344,1346,0,0,cleaner,0,0
3510,669,1,4.33,344,1346,0,2,cleaner,0,0
3664,532,3,4.29,330,1278,0,1,moisturizer,2,0
2614,48,2,4.22,339,1135,1,1,cleaner,0,1
321,508,1,3.82,365,1294,0,0,moisturizer,2,0
1339,425,3,4.02,136,1210,0,0,serum,1,0
2889,627,2,3.91,881,2928,0,1,moisturizer,2,0
1043,451,2,3.82,211,1336,0,0,cleaner,0,0
2892,145,5,4.31,436,1929,1,1,serum,1,1
2457,348,1,3.91,246,1494,0,0,cleaner,0,0
99,441,3,4.31,248,1313,0,0,moisturizer,2,0
758,576,2,4.3,280,879,0,0,serum,1,0
339,271,1,4.34,132,1491,0,0,cleaner,0,0
604,334,4,4.39,184,897,1,0,moisturizer,2,1
2190,649,2,4.33,199,745,0,0,moisturizer,2,0
1471,592,5,4.2,104,742,0,0,serum,1,0
3013,288,5,4.82,282,3432,1,1,serum,1,1
1888,670,1,4.23,641,2550,0,0,serum,1,0
3173,622,1,4.55,169,1074,0,0,serum,1,0
2064,348,1,3.91,246,1494,1,0,cleaner,0,1
412,485,3,4.55,332,1699,0,0,cleaner,0,0
2146,514,1,4.11,183,547,1,0,cleaner,0,1
3703,407,2,4.36,298,2033,0,0,cleaner,0,0
983,407,4,4.36,298,2033,0,0,cleaner,0,0
1266,325,2,4.21,850,3334,0,0,moisturizer,2,0
2932,71,3,3.88,216,1833,0,0,cleaner,0,0
3504,559,1,3.92,92,831,0,0,serum,1,0
2635,76,2,4.02,207,807,0,0,cleaner,0,0
1709,363,2,4.0,306,1481,0,0,cleaner,0,0
1640,382,2,3.91,548,1725,0,0,moisturizer,2,0
3433,386,3,3.68,150,782,0,0,unknown,3,0
243,607,3,4.25,134,1339,0,0,moisturizer,2,0
3354,354,6,4.22,138,826,0,0,serum,1,0
735,159,1,4.33,179,1145,0,0,moisturizer,2,0
3610,452,1,4.49,270,798,0,0,moisturizer,2,0
1689,70,1,4.53,287,957,0,0,serum,1,0
574,362,2,4.02,63,766,1,1,cleaner,0,1
3384,545,4,3.89,283,1594,0,0,cleaner,0,0
2643,310,1,3.95,248,704,0,0,cleaner,0,0
1970,688,1,4.04,83,523,0,0,moisturizer,2,0
542,62,5,4.2,119,1049,0,0,serum,1,0
1607,528,1,3.62,207,666,0,0,unknown,3,0
3462,153,1,4.19,555,1798,0,0,cleaner,0,0
3594,13,2,4.32,102,1066,0,1,serum,1,0
2279,2,2,4.44,259,1500,0,0,serum,1,0
2175,498,1,4.44,143,1535,0,0,serum,1,0
736,616,1,4.79,191,953,0,0,moisturizer,2,0
3299,74,3,4.32,283,3373,0,1,cleaner,0,0
765,44,2,4.01,265,2967,1,1,serum,1,1
2820,612,1,3.99,140,883,0,0,moisturizer,2,0
489,348,4,3.91,246,1494,0,0,cleaner,0,0
1292,603,1,4.28,354,1386,0,0,moisturizer,2,0
467,415,2,4.01,137,724,0,0,cleaner,0,0
2025,488,1,3.99,286,1270,0,0,cleaner,0,0
2914,212,1,4.16,288,941,1,0,serum,1,1
1664,626,3,4.13,209,868,1,1,serum,1,1
1655,668,1,3.67,456,1566,0,0,unknown,3,0
330,417,3,4.1,276,1547,0,0,cleaner,0,0
1934,46,1,4.19,460,2141,0,0,moisturizer,2,0
1489,157,4,3.74,343,1172,0,0,cleaner,0,0
1474,39,4,4.36,942,3224,0,0,cleaner,0,0
3098,364,1,4.17,68,678,0,0,cleaner,0,0
1191,383,1,4.5,270,1435,1,0,moisturizer,2,1
3831,339,2,4.66,170,871,0,1,cleaner,0,0
65,527,1,4.2,114,610,0,0,moisturizer,2,0
3985,360,1,4.03,142,1077,0,0,serum,1,0
3787,131,2,4.32,220,1253,1,1,cleaner,0,1
2434,106,3,4.33,264,814,0,0,moisturizer,2,0
3791,227,1,3.82,120,586,0,0,cleaner,0,0
3307,46,2,4.19,460,2141,0,0,moisturizer,2,0
407,350,4,4.47,132,762,0,2,cleaner,0,0
2648,167,2,4.11,359,2089,0,1,moisturizer,2,0
1592,665,1,4.36,384,1706,1,2,serum,1,1
3950,656,1,4.55,146,1137,0,0,serum,1,0
2997,340,1,3.86,331,1467,0,0,moisturizer,2,0
2896,401,4,4.09,733,2310,0,1,serum,1,0
1331,13,3,4.32,102,1066,0,1,serum,1,0
421,194,2,4.08,73,688,0,0,moisturizer,2,0
1372,236,2,4.44,161,1010,0,1,moisturizer,2,0
1532,247,2,3.9,198,726,0,0,serum,1,0
110,553,1,4.22,225,808,0,0,cleaner,0,0
2691,93,1,4.16,225,1044,0,0,serum,1,0
1477,167,5,4.11,359,2089,1,0,moisturizer,2,1
264,108,5,4.48,170,1516,1,1,cleaner,0,1
663,102,3,4.28,142,901,0,0,moisturizer,2,0
1715,335,2,4.03,193,1232,0,0,cleaner,0,0
640,401,1,4.09,733,2310,0,1,serum,1,0
2279,649,2,4.33,199,745,0,0,moisturizer,2,0
373,668,1,3.67,456,1566,0,0,unknown,3,0
133,136,3,4.19,731,2676,0,0,cleaner,0,0
3897,501,4,4.07,90,558,0,0,moisturizer,2,0
3079,577,2,4.32,535,2761,0,0,moisturizer,2,0
326,87,1,4.18,240,1228,0,0,moisturizer,2,0
1852,483,1,4.24,236,728,0,0,serum,1,0
3675,661,1,4.12,246,790,0,0,cleaner,0,0
3071,13,5,4.32,102,1066,0,1,serum,1,0
733,34,3,4.34,345,1177,1,0,serum,1,1
367,117,1,4.28,129,1081,0,0,moisturizer,2,0
3844,544,2,3.62,181,705,0,0,unknown,3,0
2078,481,9,3.85,306,1499,0,0,serum,1,0
2756,408,1,4.55,329,1720,0,0,moisturizer,2,0
2850,408,1,4.55,329,1720,0,1,moisturizer,2,0
3352,325,2,4.21,850,3334,0,0,moisturizer,2,0
2524,694,2,3.79,424,1421,0,1,serum,1,0
2942,249,6,4.33,171,1009,0,1,serum,1,0
386,607,2,4.25,134,1339,0,0,moisturizer,2,0
1357,544,1,3.62,181,705,0,0,unknown,3,0
404,236,2,4.44,161,1010,0,0,moisturizer,2,0
3745,423,6,4.72,166,962,0,1,cleaner,0,0
2966,397,3,4.21,438,4304,1,2,moisturizer,2,1
3927,400,2,4.29,205,648,0,1,serum,1,0
156,24,3,3.94,244,1367,0,0,moisturizer,2,0
3913,57,2,4.25,124,1467,0,0,serum,1,0
2132,383,3,4.5,270,1435,0,0,moisturizer,2,0
3141,232,1,4.23,208,959,0,0,serum,1,0
2087,376,5,4.1,261,850,0,1,cleaner,0,0
3981,75,1,4.39,685,2163,0,0,cleaner,0,0
2045,48,3,4.22,339,1135,3,1,cleaner,0,1
770,411,3,4.23,142,661,2,0,moisturizer,2,1
3989,526,2,4.24,242,880,1,0,serum,1,1
1275,74,2,4.32,283,3373,0,1,cleaner,0,0
2475,486,3,4.07,189,1282,1,0,serum,1,1
1676,372,1,4.14,399,1364,0,0,cleaner,0,0
3656,509,3,4.59,236,2153,0,0,serum,1,0
296,98,1,4.33,171,1393,0,0,cleaner,0,0
3783,634,1,4.16,308,954,0,0,serum,1,0
1529,24,3,3.94,244,1367,0,0,moisturizer,2,0
744,539,1,4.19,294,1283,0,0,cleaner,0,0
2537,558,1,4.2,35,487,0,0,serum,1,0
2310,198,4,4.34,143,983,1,0,moisturizer,2,1
721,211,1,4.05,197,861,0,0,moisturizer,2,0
989,435,3,4.06,208,896,0,0,cleaner,0,0
521,277,1,3.95,202,722,0,0,serum,1,0
1404,206,1,4.04,59,372,0,0,cleaner,0,0
836,16,1,3.97,208,1058,1,0,cleaner,0,1
1248,358,2,4.19,253,899,0,0,moisturizer,2,0
1658,407,6,4.36,298,2033,0,1,cleaner,0,0
1254,112,4,3.87,364,1316,0,0,cleaner,0,0
552,42,1,4.26,465,2164,0,0,moisturizer,2,0
1272,591,1,3.91,182,910,0,0,moisturizer,2,0
1958,642,5,4.3,282,2220,1,0,moisturizer,2,1
1587,269,3,4.28,353,1360,0,1,cleaner,0,0
3632,337,1,4.13,104,892,0,0,cleaner,0,0
443,517,1,4.35,164,1305,0,0,serum,1,0
3342,578,2,4.28,278,1109,0,0,serum,1,0
3659,244,1,4.49,1344,4551,1,0,serum,1,1
2616,351,8,4.32,363,2523,0,0,serum,1,0
1924,311,1,4.33,252,1900,1,0,serum,1,1
2153,212,1,4.16,288,941,0,0,serum,1,0
2917,11,2,4.21,86,912,0,0,serum,1,0
3556,369,3,4.55,323,2088,0,0,serum,1,0
1680,346,4,4.26,357,1520,1,1,moisturizer,2,1
1312,235,1,3.99,117,998,1,1,moisturizer,2,1
1835,405,7,4.43,483,1465,0,0,unknown,3,0
2080,276,1,4.59,296,1062,0,0,serum,1,0
1247,407,10,4.36,298,2033,0,0,cleaner,0,0
2506,665,1,4.36,384,1706,0,0,serum,1,0
1177,67,1,4.08,472,1690,0,0,serum,1,0
2944,33,1,4.02,211,1373,0,0,serum,1,0
2336,377,7,4.43,499,1493,1,0,moisturizer,2,1
2502,168,2,4.76,196,983,0,0,moisturizer,2,0
1662,494,2,4.75,206,1089,0,0,serum,1,0
2789,169,4,4.16,356,1631,1,0,serum,1,1
3052,359,1,4.48,126,1045,0,1,serum,1,0
1748,373,1,4.54,84,776,1,0,serum,1,1
649,587,1,4.14,135,794,0,1,cleaner,0,0
2315,556,3,4.12,414,1439,0,0,cleaner,0,0
2399,157,3,3.74,343,1172,0,0,cleaner,0,0
3050,385,3,4.26,704,3131,0,0,serum,1,0
336,176,1,4.01,221,1315,0,0,cleaner,0,0
1320,401,11,4.09,733,2310,1,1,serum,1,1
993,452,4,4.49,270,798,1,0,moisturizer,2,1
3506,118,4,4.2,267,921,1,0,moisturizer,2,1
2184,358,2,4.19,253,899,3,0,moisturizer,2,1
206,58,2,4.38,78,965,1,0,serum,1,1
3186,446,2,4.37,205,1226,0,0,moisturizer,2,0
3849,665,6,4.36,384,1706,1,1,serum,1,1
52,419,1,4.04,207,990,0,0,cleaner,0,0
3797,561,4,4.17,561,1843,0,1,cleaner,0,0
865,556,1,4.12,414,1439,0,0,cleaner,0,0
3981,158,1,4.37,204,1454,0,0,moisturizer,2,0
32,432,3,4.22,131,979,0,1,moisturizer,2,0
1136,639,4,4.48,783,2533,1,1,moisturizer,2,1
1160,253,1,4.7,420,1733,0,0,serum,1,0
812,210,1,4.26,261,1237,0,1,serum,1,0
691,269,3,4.28,353,1360,0,0,cleaner,0,0
1890,561,1,4.17,561,1843,1,0,cleaner,0,1
1804,575,2,3.81,73,710,1,1,moisturizer,2,1
3826,637,4,4.14,388,1393,0,1,moisturizer,2,0
1838,547,1,4.78,111,694,0,0,serum,1,0
1710,93,2,4.16,225,1044,0,0,serum,1,0
3095,615,1,4.11,198,769,0,0,cleaner,0,0
2994,23,1,4.2,868,2604,0,0,moisturizer,2,0
3513,620,3,4.07,314,1114,0,0,cleaner,0,0
2316,119,3,3.91,122,1022,0,1,serum,1,0
3254,325,4,4.21,850,3334,0,0,moisturizer,2,0
1741,370,2,4.19,256,1307,0,1,moisturizer,2,0
2619,145,3,4.31,436,1929,0,0,serum,1,0
1271,582,2,4.15,384,1257,0,0,serum,1,0
2322,7,5,4.04,631,2023,0,0,moisturizer,2,0
1600,664,1,4.08,331,1006,0,0,cleaner,0,0
1223,20,6,4.47,236,851,1,1,serum,1,1
3441,476,1,4.19,211,935,0,0,serum,1,0
89,397,1,4.21,438,4304,0,1,moisturizer,2,0
1207,197,1,4.2,126,532,0,0,serum,1,0
931,379,1,4.18,214,953,0,0,serum,1,0
3514,49,1,4.43,305,1046,1,1,moisturizer,2,1
1647,271,4,4.34,132,1491,0,0,cleaner,0,0
3321,513,1,4.06,179,1140,0,0,cleaner,0,0
1658,74,2,4.32,283,3373,0,0,cleaner,0,0
2673,311,1,4.33,252,1900,0,0,serum,1,0
2369,99,3,4.22,561,1842,1,0,cleaner,0,1
1718,507,2,4.57,120,620,1,0,serum,1,1
3406,465,4,4.03,121,856,0,0,serum,1,0
116,505,1,4.15,776,2409,1,0,serum,1,1
1803,215,1,4.51,253,1771,0,0,moisturizer,2,0
1906,332,1,4.01,162,1061,0,0,cleaner,0,0
1935,532,1,4.29,330,1278,0,0,moisturizer,2,0
2189,162,2,3.94,411,2616,1,0,moisturizer,2,1
1951,445,3,4.31,135,1494,0,0,cleaner,0,0
1953,667,2,4.4,266,1145,0,0,moisturizer,2,0
2427,545,4,3.89,283,1594,0,0,cleaner,0,0
2302,63,4,4.25,236,1002,0,0,serum,1,0
2424,691,5,4.45,295,1177,1,1,cleaner,0,1
2382,205,1,4.41,524,1744,0,0,cleaner,0,0
1113,503,3,3.99,174,532,0,0,moisturizer,2,0
2610,298,2,3.99,89,962,0,1,moisturizer,2,0
925,574,1,4.41,85,750,0,1,moisturizer,2,0
2716,454,1,4.46,254,1531,0,1,cleaner,0,0
2268,436,1,4.53,130,1079,1,0,cleaner,0,1
3174,67,3,4.08,472,1690,1,1,serum,1,1
2834,413,1,4.06,512,1950,0,0,cleaner,0,0
760,635,2,3.91,140,703,1,0,cleaner,0,1
16,217,1,3.59,147,737,0,0,cleaner,0,0
2187,50,8,3.61,331,1022,0,0,cleaner,0,0
506,561,2,4.17,561,1843,0,0,cleaner,0,0
250,416,1,4.49,303,1224,0,0,cleaner,0,0
3134,596,16,4.26,200,891,0,1,cleaner,0,0
526,461,1,4.55,164,1288,2,0,serum,1,1
2447,429,1,4.3,152,1249,0,0,cleaner,0,0
2928,668,1,3.67,456,1566,0,0,unknown,3,0
1602,487,1,4.26,195,787,0,0,serum,1,0
2537,513,2,4.06,179,1140,0,0,cleaner,0,0
495,32,1,4.36,249,834,0,0,moisturizer,2,0
1030,131,2,4.32,220,1253,0,1,cleaner,0,0
2510,277,2,3.95,202,722,0,0,serum,1,0
3529,554,2,4.57,241,896,0,0,moisturizer,2,0
2751,416,1,4.49,303,1224,0,0,cleaner,0,0
2524,370,1,4.19,256,1307,0,0,moisturizer,2,0
1603,272,2,4.33,145,575,0,0,cleaner,0,0
1718,617,3,4.06,89,603,0,1,moisturizer,2,0
705,605,3,4.59,366,1236,1,1,moisturizer,2,1
2587,634,2,4.16,308,954,0,0,serum,1,0
587,501,3,4.07,90,558,0,0,moisturizer,2,0
2347,15,4,4.47,269,849,1,1,serum,1,1
465,559,3,3.92,92,831,0,0,serum,1,0
2560,48,4,4.22,339,1135,1,1,cleaner,0,1
3685,661,2,4.12,246,790,1,0,cleaner,0,1
2864,262,4,4.2,96,1217,0,0,moisturizer,2,0
1133,502,1,4.19,234,671,0,0,moisturizer,2,0
2768,262,3,4.2,96,1217,1,0,moisturizer,2,1
3103,161,1,4.33,52,613,0,0,cleaner,0,0
3143,247,1,3.9,198,726,0,0,serum,1,0
1815,248,4,4.29,336,1334,1,1,serum,1,1
1387,523,3,4.37,84,840,0,1,cleaner,0,0
1023,330,1,4.12,331,982,0,0,cleaner,0,0
3923,682,3,4.67,149,1272,0,0,cleaner,0,0
161,491,3,4.22,401,1625,0,0,moisturizer,2,0
1620,397,6,4.21,438,4304,0,0,moisturizer,2,0
3100,187,5,4.49,119,1014,0,1,serum,1,0
3422,617,2,4.06,89,603,0,0,moisturizer,2,0
3600,322,2,4.12,183,548,0,0,serum,1,0
3096,206,11,4.04,59,372,0,0,cleaner,0,0
1610,127,3,4.16,184,561,0,0,serum,1,0
2054,251,3,4.12,497,1712,0,0,moisturizer,2,0
1096,86,6,4.37,253,2478,1,0,cleaner,0,1
3561,4,4,4.64,148,1336,0,0,moisturizer,2,0
308,283,2,4.05,65,454,0,0,cleaner,0,0
139,522,2,4.37,163,1061,0,1,serum,1,0
308,633,3,3.68,272,1581,0,0,cleaner,0,0
398,372,1,4.14,399,1364,0,0,cleaner,0,0
1091,668,2,3.67,456,1566,0,0,unknown,3,0
1706,23,1,4.2,868,2604,1,1,moisturizer,2,1
3824,483,1,4.24,236,728,0,0,serum,1,0
3633,473,2,4.2,112,590,0,0,cleaner,0,0
3853,244,5,4.49,1344,4551,0,0,serum,1,0
285,404,7,4.06,159,584,1,1,cleaner,0,1
326,56,2,4.08,135,1475,0,0,moisturizer,2,0
468,353,8,4.4,166,1068,1,0,serum,1,1
2503,525,2,4.03,376,1300,1,1,cleaner,0,1
724,316,1,4.41,368,1084,0,0,serum,1,0
3102,695,5,4.74,266,1180,0,0,moisturizer,2,0
1755,638,5,4.0,173,689,0,0,moisturizer,2,0
3318,56,2,4.08,135,1475,0,0,moisturizer,2,0
866,311,2,4.33,252,1900,0,0,serum,1,0
1473,253,5,4.7,420,1733,0,2,serum,1,0
682,519,1,4.68,271,825,0,0,cleaner,0,0
1299,254,3,3.76,87,347,0,0,cleaner,0,0
366,162,2,3.94,411,2616,0,0,moisturizer,2,0
936,288,1,4.82,282,3432,1,0,serum,1,1
2823,619,2,3.91,388,1204,0,0,cleaner,0,0
3947,414,2,3.99,525,1744,0,1,moisturizer,2,0
2766,377,6,4.43,499,1493,0,0,moisturizer,2,0
1320,665,4,4.36,384,1706,1,2,serum,1,1
3083,210,4,4.26,261,1237,0,0,serum,1,0
2596,545,4,3.89,283,1594,1,0,cleaner,0,1
2597,166,1,4.47,154,778,0,0,serum,1,0
1963,318,4,4.06,101,839,0,0,moisturizer,2,0
1301,359,1,4.48,126,1045,0,0,serum,1,0
1357,49,3,4.43,305,1046,0,0,moisturizer,2,0
15,648,4,4.17,193,905,1,0,serum,1,1
733,244,5,4.49,1344,4551,1,1,serum,1,1
904,336,3,4.04,241,1563,0,0,serum,1,0
2334,496,2,3.92,104,915,0,0,serum,1,0
3104,138,1,4.37,99,1269,0,0,serum,1,0
2209,356,3,4.28,99,1148,0,0,serum,1,0
3248,597,6,4.22,212,1415,0,0,moisturizer,2,0
2187,230,1,3.68,334,1919,0,0,cleaner,0,0
3024,454,4,4.46,254,1531,0,1,cleaner,0,0
2954,495,2,4.61,123,1470,1,1,moisturizer,2,1
2561,167,4,4.11,359,2089,0,2,moisturizer,2,0
2179,631,2,4.55,142,1213,0,0,moisturizer,2,0
2464,241,5,4.12,119,1145,1,0,moisturizer,2,1
422,639,2,4.48,783,2533,0,0,moisturizer,2,0
2690,314,1,3.77,99,668,1,0,serum,1,1
803,356,3,4.28,99,1148,0,0,serum,1,0
3946,126,3,4.43,332,1457,0,0,serum,1,0
2111,397,5,4.21,438,4304,2,0,moisturizer,2,1
3171,87,2,4.18,240,1228,0,0,moisturizer,2,0
1589,539,3,4.19,294,1283,0,0,cleaner,0,0
435,212,1,4.16,288,941,0,1,serum,1,0
1713,395,1,4.44,417,1724,0,0,cleaner,0,0
2963,283,1,4.05,65,454,0,0,cleaner,0,0
128,593,1,4.28,311,1212,0,0,serum,1,0
320,536,2,4.69,89,1051,0,1,cleaner,0,0
3000,3,3,4.08,274,1130,0,0,moisturizer,2,0
2330,156,3,4.79,161,719,0,1,moisturizer,2,0
2929,325,1,4.21,850,3334,0,0,moisturizer,2,0
2832,681,7,4.23,493,4358,1,0,cleaner,0,1
1306,613,1,4.29,186,897,0,0,moisturizer,2,0
2409,318,1,4.06,101,839,1,0,moisturizer,2,1
2997,39,1,4.36,942,3224,1,0,cleaner,0,1
578,57,3,4.25,124,1467,0,0,serum,1,0
180,671,1,3.77,96,587,1,0,cleaner,0,1
3685,82,4,4.64,491,2327,1,1,serum,1,1
881,276,4,4.59,296,1062,1,1,serum,1,1
2953,38,2,4.34,236,843,0,0,serum,1,0
